,product_index,username,user_rate,rate_date,buyer_comment
0,10964145615,9***0,,2019-08-15 13:22:14,很方便，正品正貨還有折
1,10964145615,9***7,,2019-08-24 08:06:18,發貨迅速
2,10964145615,7***2,,2019-10-09 18:26:13,买家没有填写评价内容！
3,10964145615,7***7,,2019-10-09 16:15:23,买家没有填写评价内容！
4,10964145615,7***1,,2019-10-09 15:51:05,买家没有填写评价内容！
5,10964145615,7***1,,2019-10-09 14:55:41,买家没有填写评价内容！
6,10964145615,6***7,,2019-10-08 11:45:27,买家没有填写评价内容！
7,10964145615,7***2,,2019-10-07 20:46:22,买家没有填写评价内容！
8,10964145615,7***2,,2019-10-07 18:11:29,买家没有填写评价内容！
9,10964145615,7***3,,2019-10-06 19:37:04,买家没有填写评价内容！
10,10964145615,7***2,,2019-10-06 17:56:22,买家没有填写评价内容！
11,10964145615,7***7,,2019-10-05 14:31:39,买家没有填写评价内容！
